# num_ytids=22160, num_segs=22160, num_unique_labels=527, num_positive_labels=52882
# YTID, start_seconds, end_seconds, positive_labels
-Dj2PfPmynQ,30,40,"/m/04rlf,/m/0l14jd,/t/dd00003,/t/dd00004"
-Dl-VzBPd9E,270,280,/m/028ght
-Dtir74TiUM,40,50,"/m/01hgjl,/m/0283d,/m/04rlf,/m/07qb_dv"
-DvxsHG1tuo,410,420,"/m/04rlf,/m/05zppz,/m/07sr1lc,/m/09x0r"
-E013cWxoMo,10,20,/m/02_nn
-ECK_BisOLM,20,30,"/m/04rlf,/t/dd00006"
-EDGR1davAc,40,50,/m/0gy1t2s
-EDhb2m8qhk,30,40,"/m/01z7dr,/m/04rlf"
-EFS2mihxs0,240,250,"/m/02rhddq,/m/07yv9,/t/dd00129"
-ETHxO8vrAg,30,40,"/m/015lz1,/m/04rlf,/t/dd00004"
-ETSfElMyNc,220,230,/m/0chx_
-En5nC5Tka4,30,40,"/m/07qlwh6,/m/09x0r"
-F8ZP9sXcKM,5,15,/t/dd00006
-FEPOSP7ay0,260,270,/m/0395lw
-FFx68qSAuY,190,200,"/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md"
-FT5MbWPCzg,540,550,/m/03w41f
-FVBrg2qeIA,90,100,"/m/0342h,/m/04rlf,/m/04szw,/m/07rwj3x,/m/09x0r,/m/0fx80y"
-FYyJ2sAWk4,200,210,/m/0242l
-Fby-7z_JpE,0,8,/m/07q5rw0
-FlvaZQOr2I,90,100,"/m/04rlf,/t/dd00037"
-Fn3Ze8xVOE,210,220,"/m/05w3f,/m/0dl5d"
-G3Ph35cTy0,30,40,"/m/09x0r,/t/dd00136"
-GDC7PuqdOM,30,40,"/m/02mk9,/m/07pb8fc,/t/dd00066,/t/dd00130"
-GI5PbO6j50,30,40,/m/03qc9zr
-GREE8GdRrc,30,40,"/m/02z32qm,/t/dd00129"
-G_hnfp4a0M,30,40,"/m/04rlf,/m/07pbtc8"
-GaHBgRGi4s,10,20,"/m/04rlf,/m/07rkbfh,/m/09x0r,/t/dd00126"
-GbQWmFzVdY,60,70,"/m/01h3n,/m/03vt0,/m/0h2mp"
-GiRtQZlnbw,280,290,"/m/04_sv,/m/07yv9"
-GlZ819IHfE,30,40,/m/07pn_8q
-H5WnRXsnoM,130,140,"/m/07qwdck,/m/09x0r,/t/dd00125"
-H5kC4WsuI8,30,40,"/m/07qcpgn,/m/09x0r"
-H7l8OjHID4,10,20,"/m/06xkwv,/m/07rcgpl"
-HLoD4GWMtw,4,14,/m/04rmv
-HN5kqCKpEA,30,40,"/m/04rlf,/m/07pws3f,/m/09x0r"
-Hav5URxl74,30,40,/m/04fgwm
-HlS6jz-f0I,170,180,"/m/04rlf,/m/0dq0md"
-HnNrGtKXp4,30,40,"/m/04rlf,/m/0m0jc"
-HvtS74RG8w,240,250,/m/03l9g
-IKwiAsgpAI,500,510,"/m/02p01q,/m/07pdjhy,/m/083vt"
-IWlQN6cfe4,30,40,/m/07pbtc8
-IZsyroG6yo,420,430,"/m/07rkbfh,/m/09x0r"
-ItCGHv_9Gs,3,13,"/m/07r4wb8,/m/09x0r"
-J0H5ah1G7A,30,40,"/m/025td0t,/m/04rlf"
-JBvPwxaVVg,110,120,"/m/04rlf,/m/07qnq_y,/m/09x0r"
-JKLmqDk9p8,490,500,"/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1,/t/dd00038"
-JOKwS64mRU,150,160,"/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092"
-JVWfFPBl84,330,340,/m/0l14t7
-Jam3cjbeFQ,30,40,"/m/07pws3f,/m/09x0r"
-JbPonixXS4,0,10,"/m/01j4z9,/m/0_ksk"
-JfXNXGi-l8,70,80,/m/03wvsk
-JfpacjZWyw,30,40,/m/01c194
-Jie0k7xUIk,10,20,"/m/012xff,/m/07r5v4s"
-JuVh6islEI,30,40,"/m/06bz3,/m/09x0r"
-K-k1pxeRtQ,30,40,"/m/03qtwd,/m/04gy_2"
-K4R9SXZZsk,10,20,"/m/012f08,/m/07yv9,/m/096m7z,/m/0k4j"
-KElVp2r03E,530,540,"/m/018w8,/m/07rjzl8,/m/09x0r"
-KaRoM5LnHc,30,40,"/m/07pyf11,/m/09x0r"
-KengzYsTkk,60,70,/m/06hck5
-KiAK66YwW8,150,160,"/m/07r4k75,/m/09x0r"
-L44JqysUy8,190,200,"/m/07qc9xj,/m/09x0r,/t/dd00125"
-L68XDzhn2g,80,90,"/m/02x984l,/m/09x0r"
-LB1RoVe8Xc,270,280,"/m/04rlf,/m/07rrh0c"
-LBl0UeKNyU,430,440,"/m/07p6mqd,/m/09x0r,/t/dd00125,/t/dd00128"
-LQM385KSMY,30,40,"/m/0155w,/m/04rlf,/m/06j6l,/m/06rqw"
-M-6VinyMiY,30,40,"/m/04rlf,/t/dd00033"
-MZx1np1Ddc,30,40,"/m/01jnbd,/m/09x0r"
-M_5w6KKfgQ,0,10,"/m/04rlf,/m/07r4wb8,/m/09x0r"
-MfaG0whPJc,130,140,"/m/07qv4k0,/t/dd00129"
-MtYGIr-o08,50,60,"/m/03qtwd,/m/04gy_2"
-Mu1AWT_x54,320,330,"/m/03v3yw,/m/09x0r"
-N2reaP4SoI,30,40,"/m/042v_gx,/m/04rlf,/m/07s0s5r,/m/09x0r"
-NC5li0b4eY,30,40,"/m/04rlf,/t/dd00003,/t/dd00004,/t/dd00006"
-NNjOlPg0y0,0,5,"/m/04rlf,/m/07c52"
-NPqCu4DyAM,30,40,"/m/04rlf,/t/dd00032"
-N_vl1d7TFA,30,40,"/m/01yrx,/m/02yds9,/m/04rlf,/m/068hy,/m/0jbk"
-NmjCyqIavI,30,40,"/m/02cz_7,/m/04rlf,/m/0y4f8"
-NutOdeXH8s,50,60,/m/07pqc89
-NwuLeOWpLk,420,430,/m/01lsmm
-O842QWtymw,0,6,"/m/07st88b,/m/09ld4"
-O9mnfC61Ac,0,10,/m/01lyv
-ODqYMQFwsY,30,40,/t/dd00134
-ODzHayGHvk,50,60,/m/0ghcn6
-OIGA3xjYyQ,0,10,/m/07rdhzs
-OYfLX-2kmU,30,40,"/m/0140xf,/m/04rlf"
-OaOY7-71ME,90,100,"/m/04rlf,/m/0ggx5q"
-OylLzMa0d0,100,110,"/m/04rlf,/m/07p78v5"
-PFO-nCfRq0,0,9,"/m/01jt3m,/m/0838f"
-PIuJAAplqI,210,220,"/m/016cjb,/m/04rlf"
-Pvyzs28PJw,20,30,"/m/03cczk,/m/07pdhp0,/m/07s12q4"
-Q9WotFs1MI,30,40,/m/07pczhz
-QE9dqhf_D8,170,180,"/m/0642b4,/m/09x0r"
-QSNQGKiGT4,260,270,/m/03qc9zr
-QVqh513RxQ,15,25,"/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-QcXMPUNMeM,0,10,"/m/09x0r,/t/dd00121,/t/dd00125"
-QivqOnaPIc,100,110,"/m/08j51y,/m/09x0r"
-QoZQDW4qjU,30,40,"/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136"
-R0267o4lLk,60,70,"/m/0239kh,/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md"
-R9gJXtS07g,0,10,"/m/04rlf,/m/07phhsh"
-RAdrtCW1hI,70,80,"/m/032s66,/m/073cg4"
-RIzfomIqZc,30,40,"/m/04rlf,/m/07bjf,/m/09x0r"
-RPKtQIGBOY,30,40,/m/03cczk
-RRi3QktLdc,500,510,"/m/09x0r,/m/0ytgt,/t/dd00013,/t/dd00128"
-RZ01HFrafg,6,16,/m/07qs1cx
-RfUo7Hb8TE,30,40,"/m/01b9nn,/m/04rlf,/m/09x0r"
-Rl7NZwtVmA,40,50,/m/05_wcq
-RlXse804I0,30,40,"/m/025td0t,/m/04rlf"
-RsGz8XRZUM,30,40,"/m/07pdhp0,/m/07pzfmf,/m/07s12q4"
-Ry1YNVPPCM,9,19,"/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136"
-S-Cn-IKlQw,23,33,"/m/07swgks,/m/09x0r"
-SD9DkKyOrY,30,40,"/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md"
-Sclnq22t7o,30,40,/m/03q5_w
-T-ZI1MZ44g,40,50,"/m/04rlf,/m/09x0r,/t/dd00127"
-T4GeTHKtJQ,30,40,"/m/02x8m,/m/04rlf"
-TJe1_ECCwM,6,16,/m/07pws3f
-TNmWwhsnzs,30,40,/m/07qv4k0
-Tea8DpWZQM,13,23,"/m/015lz1,/m/01swy6,/m/09x0r"
-ToQFT3M-Vg,200,210,"/m/02cjck,/m/04rlf"
-TpdnwhYCvk,30,40,/m/07qsvvw
-TvUb8THUq4,100,110,"/m/04rlf,/m/06bxc"
-U3Xh6Fsw50,0,10,"/m/07pqn27,/m/09x0r"
-UGmXiQ8yiY,50,60,"/m/03dnzn,/m/07p7b8y,/m/09x0r"
-UNPp3fEWSE,0,10,"/m/01d380,/m/07k1x,/m/0_ksk"
-UYmhq3Rjtc,30,40,"/m/04rlf,/m/07pws3f"
-Ub8LKPkhos,60,70,/m/06xkwv
-UbFLKplzbE,30,40,/m/01j4z9
-UcfsxiD_ns,340,350,/m/0llzx
-UfqtS1lsRY,30,40,"/m/01bns_,/m/0d8_n"
-UuEBhule84,350,360,"/m/015lz1,/m/01lyv,/m/04rlf,/m/07s0s5r"
-Uw2HHni78U,80,90,"/m/0jb2l,/m/0ngt1"
-V7u2HffQAE,160,170,"/m/07rrh0c,/m/09x0r"
-VI2IRq17rs,360,370,/m/0395lw
-VXpZuIsb_g,30,40,"/m/030rvx,/m/09x0r"
-VZZ_IzaG7A,350,360,/m/07phxs1
-VclCul6FrI,80,90,"/m/013y1f,/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c,/m/0b9m1,/t/dd00125"
-VygdbfiRes,30,40,"/m/07swgks,/m/09x0r"
-W5c6CeUMPE,40,50,"/m/01swy6,/m/04rlf,/m/0l14j_,/m/0mkg"
-WFsDr9xBVo,30,40,"/m/025wky1,/m/09x0r"
-WH_8Hk1fnM,110,120,"/m/04rlf,/m/07brj"
-WX7nQcZPVQ,30,40,"/m/04rlf,/m/04szw,/m/07brj"
-WmL01c-4ZE,20,30,"/m/07rjzl8,/m/09x0r,/t/dd00128"
-Wu-WkTumEM,30,40,"/m/04rlf,/t/dd00004,/t/dd00005"
-X14yAhC-SE,30,40,/m/07qs1cx
-X5Ay0Wuew0,20,30,/m/0dl83
-X5M6FevXWU,30,40,"/m/03lty,/m/04rlf,/m/0dl5d"
-XAxN0GUsLs,270,280,"/m/03vt0,/m/09f96,/m/0h2mp"
-XN0NtrnfMY,30,40,"/m/04rlf,/t/dd00035"
-XOINU-l1_o,90,100,"/m/04rlf,/t/dd00035"
-XVgCqsHi3g,30,40,"/m/02mk9,/m/04229,/m/07pb8fc,/m/07yv9,/t/dd00067"
-XkbErI_7EU,50,60,"/m/01kcd,/m/0319l"
-XxJ50brqGw,30,40,"/m/09x0r,/t/dd00018"
-Y1qiiugnk8,30,40,"/m/012n7d,/m/03j1ly,/m/03kmc9"
-Y3kEZ8li-A,30,40,/m/07rbp7_
-YATTKBtmRA,190,200,"/m/01s0ps,/m/05148p4,/m/05r5c"
-YGmAv-5bYk,30,40,"/m/01sm1g,/m/0l14md"
-YX2e66b5HA,10,20,"/m/04rlf,/m/04wptg"
-YZRsLrmqEA,0,10,/m/07pzfmf
-Ypg2o4TqXM,30,40,/m/07r4wb8
-YxGyNHMasQ,240,250,"/m/0130jx,/m/02jz0l,/m/0838f"
-ZHpNr_KRXU,30,40,"/m/02w4v,/m/04rlf"
-Ze_xQhxKRo,30,40,/m/0j2kx
-ZjxFZOaY50,30,40,"/m/025rv6n,/m/07qwf61,/m/0dbvp"
-_6RxZyi30Q,70,80,"/m/015lz1,/m/04rlf,/m/0g293,/t/dd00126"
-_Hpy806bks,180,190,"/m/023pjk,/m/04brg2"
-_OzT7Xyvok,30,40,"/m/0155w,/m/0326g,/m/04rlf,/m/05rwpb,/m/06j6l"
-_dElQcyJnA,30,40,"/m/012n7d,/m/03j1ly,/m/03kmc9,/m/04qvtq"
-a6J2OMtfZc,30,40,"/m/015lz1,/m/04rlf,/m/0ln16,/m/0xzly"
-aC8TJIZrtE,20,30,"/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t"
-b1l5v-fpNs,30,40,"/m/07pqn27,/m/09x0r"
-b6pKB99TKg,0,10,"/m/07qyrcz,/m/09x0r"
-b_10b-orX4,50,60,/m/02_41
-blH_CYo09w,30,40,"/m/04rlf,/m/07pbtc8"
-buXkpFmCWY,210,220,/m/0mbct
-bxDQSLTdEs,30,40,/m/07qwyj0
-cLzki-B06o,30,40,"/m/04rlf,/m/0gywn"
-cQ-jUTEgck,30,40,"/m/02p0sh1,/m/04rlf"
-cQV8iXK3pQ,0,10,"/m/032s66,/m/0_1c"
-cUFMQCB2dA,270,280,/m/0239kh
-cVFtuOI5uo,23,33,"/m/04rlf,/m/07p6mqd,/m/09x0r"
-cWrzrfVdMQ,250,260,"/m/032s66,/m/073cg4"
-d6ytV5GfH4,30,40,"/m/07yv9,/m/09ct_"
-d7CDTWso5c,120,130,/m/027m70_
-dEOa2GkXHw,30,40,"/m/09x0r,/m/0chx_"
-dUX-8UM_jo,30,40,"/m/01z7dr,/m/04rlf,/m/0l14gg"
-dYTGqyVFNM,260,270,/m/07plct2
-dfDSA5oB60,220,230,"/m/015jpf,/m/0c1dj"
-e2cBx-fZ7g,270,280,"/m/02mscn,/m/04rlf"
-eEhWLICanU,160,170,"/m/04rlf,/m/09x0r,/m/0b_fwt"
-efgThyiXWI,25,35,"/m/01yrx,/m/04rlf,/m/068hy,/m/07r81j2,/m/09x0r,/m/0jbk"
-ehX__RTqF8,30,40,"/m/04rlf,/m/06h7j"
-elf_5HUVuc,30,40,"/m/04rlf,/m/05rwpb,/m/064t9,/m/06j6l"
-f6exYXS1Gk,110,120,/m/07qjznt
-fEwlyG05Co,290,300,"/m/025wky1,/m/09x0r"
-fIQkUYrSz4,0,10,/m/07pxg6y
-fJlX1mKiv0,30,40,"/m/04rlf,/m/07qn4z3"
-fOCJllN4iE,0,10,/m/07ryjzk
-fURq3jhY1Y,0,10,/m/0dl9sf8
-fhW5GMgcI4,12,22,/m/07sx8x_
-fnhkx-XXeI,340,350,"/m/068zj,/m/09x0r,/m/0ch8v,/m/0jbk"
-fwDsIyHHb8,140,150,"/m/02g901,/m/02jz0l,/m/09x0r"
-fwZGpmJNhw,40,50,"/m/019jd,/m/034srq,/m/03m9d0z,/m/05kq4,/m/06q74,/t/dd00092"
-fxh7jAJR8U,70,80,"/m/028sqc,/m/04rlf"
-g-xW4azY7Q,30,40,"/m/04rlf,/m/06j64v,/m/0l14gg"
-g50tCLEsVM,40,50,"/m/078jl,/m/07rjwbb"
-g6_Qzkrmug,30,40,"/m/07pxg6y,/m/07yv9,/m/09x0r"
-gKNRXbpAKs,30,40,"/m/012n7d,/m/03j1ly,/m/03kmc9,/m/0dgbq"
-gQg8z0ylFU,20,30,"/m/078jl,/m/07rjwbb"
-gStrDahsjU,20,30,"/m/03wwcy,/m/04rlf,/m/09x0r,/t/dd00126"
-gSxU1ceCLY,30,40,"/m/01s0vc,/m/09x0r"
-gWZyuEchB8,30,40,/m/024dl
-gcEf-olt7A,30,40,"/m/04rlf,/m/07qv4k0"
-gfBxHm8lhg,90,100,"/m/0838f,/m/09x0r,/t/dd00065"
-gie2dhqP2c,440,450,"/m/01d3sd,/m/09x0r,/m/0lyf6"
-giyfFI9pko,90,100,/m/0164x2
-gkrE5zQ8EY,150,160,"/m/07phxs1,/m/07rv4dm"
-gxkMOB4q2g,60,70,"/m/04rlf,/m/06j6l,/m/07p78v5"
-hDuDDv0lbQ,30,40,"/m/04rlf,/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/0bt9lr,/m/0jbk"
-hKi6_xqPPI,40,50,"/m/04rlf,/t/dd00006"
-hMwszM13PI,130,140,"/m/07qcx4z,/m/09x0r,/t/dd00125"
-hsT6SyyhsM,18,28,"/m/01v_m0,/m/0hdsk"
-i-9C48tduw,500,510,"/m/06mb1,/m/07r10fb,/m/0jb2l,/m/0ngt1"
-iEvwLCjYXE,50,60,"/m/025wky1,/m/09x0r,/t/dd00125"
-ihTfc5Kx8s,17,27,/m/07ptzwd
-iuUYyMOrjU,30,40,"/m/04rlf,/m/07pws3f"
-j3aoa1bEyA,9,19,"/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk"
-jBWkHhQNew,30,40,"/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00130"
-jMyzNbR7WM,10,20,/t/dd00134
-jNIaWOWUFI,30,40,"/m/07qjznt,/m/09x0r"
-jpbCWcz2pk,30,40,"/m/04rlf,/m/0l14gg,/t/dd00031"
-juN6TgEkb0,30,40,"/m/04rlf,/m/07pkxdp"
-k009MXpfdo,10,20,/m/04fgwm
-k0CHx34n0Q,30,40,/m/07pc8lb
-kBZeTTEOGc,90,100,"/m/015p6,/m/020bb7,/m/07r_25d,/m/0h0rv"
-kRxowDMwdQ,80,90,"/m/01h82_,/m/02mk9,/m/04_sv,/m/07yv9"
-kkTpMU4QS8,30,40,"/m/07bjf,/m/09x0r"
-kt1BF31gIY,0,5,"/m/01yrx,/m/02yds9,/m/0jbk"
-kyuX8l4VWY,30,40,"/m/03qtwd,/t/dd00135"
-lBsO-dj_A4,50,60,"/m/05zc1,/t/dd00077"
-lFwchGSkes,30,40,"/m/01z7dr,/m/04rlf"
-lK6DOYxQ6s,30,40,"/m/04rlf,/t/dd00006"
-lUCohWH9xg,29,39,"/m/04rlf,/m/07r4wb8,/m/09x0r"
-lYg4hm25hU,30,40,"/m/04rlf,/m/07q4ntr,/m/07rwj3x,/m/09x0r"
-lpK9Knsvz4,170,180,"/m/03cl9h,/m/04rlf,/t/dd00125"
-lw0uLmWjlE,240,250,"/m/09x0r,/m/0ytgt,/t/dd00013"
-m1eF1B0Qlk,50,60,"/m/02rr_,/m/0342h,/m/04rlf,/m/07m2kt,/m/0g12c5"
-m5ZlWziIeA,200,210,"/m/01hgjl,/m/02lkt,/m/03mb9,/m/04rlf"
-mA_bqD1tgU,30,40,"/m/04rlf,/t/dd00031"
-mB_XLq6g1g,30,40,"/m/01kcd,/m/07gql"
-mCvRi0gVE8,30,40,"/m/04rlf,/m/07pws3f"
-mFneOHpwak,270,280,"/m/04rlf,/m/07rwj3x"
-mNbbwgUZtQ,140,150,"/m/02mk9,/m/03p19w,/m/09x0r,/t/dd00128"
-mOSWOiFpgY,490,500,"/m/04rlf,/m/05fw6t,/m/07rrh0c"
-mQR-O53mFE,100,110,"/m/03qtwd,/m/053hz1,/t/dd00135"
-mRz2kEp0ho,30,40,"/m/04rlf,/m/0dls3"
-mlRMOia7DU,70,80,"/m/07bjf,/m/09x0r,/m/0dv5r"
-nf_tbb2ixE,60,70,"/m/02c8p,/m/07cx4,/m/09x0r"
-o0ZtQIkM60,30,40,"/m/04rlf,/t/dd00037"
-o31A9GCAlc,220,230,"/m/04rlf,/m/0l14qv"
-oGhPs2S17Q,30,40,"/m/04rlf,/m/07pws3f"
-oP-XX28B0s,30,40,"/m/04rlf,/m/0gywn"
-oSZw8b-vgU,30,40,"/m/07r660_,/m/09x0r"
-oSw8wNpLcY,60,70,"/m/030rvx,/m/03kmc9"
